"Date","Predicted_AvTemp"
2020-01-01,4.32921056681574
2020-01-02,5.10809181226558
2020-01-03,4.32774488694717
2020-01-04,4.16957288580416
2020-01-05,4.19459815003311
2020-01-06,4.58793264931766
2020-01-07,4.75024265868501
2020-01-08,4.89244813832203
2020-01-09,4.6128506543006
2020-01-10,4.88026356345414
2020-01-11,4.80175421279831
2020-01-12,4.63137235194221
2020-01-13,4.50021649653431
2020-01-14,4.3553067154092
2020-01-15,4.63805469190844
2020-01-16,3.99671331327941
2020-01-17,4.47259791839795
2020-01-18,4.12631689986911
2020-01-19,3.99102514083841
2020-01-20,4.75157958302066
2020-01-21,4.7236648902807
2020-01-22,4.50051971310619
2020-01-23,4.19955089085753
2020-01-24,4.49057025795119
2020-01-25,4.3585353541872
2020-01-26,4.12954994460685
2020-01-27,4.13275599964199
2020-01-28,4.02967022900788
2020-01-29,4.61860005775513
2020-01-30,4.57472753973127
2020-01-31,5.06749565627196
2020-02-01,4.55443920499075
2020-02-02,4.60290741493636
2020-02-03,4.82781092839095
2020-02-04,5.18452663407914
2020-02-05,5.17199075952388
2020-02-06,4.69400638917693
2020-02-07,4.70163592608714
2020-02-08,4.87716644726728
2020-02-09,4.75238647468251
2020-02-10,4.74262427930986
2020-02-11,4.04884370196954
2020-02-12,4.19870750830164
2020-02-13,3.97716655129487
2020-02-14,4.37894459793886
2020-02-15,4.80545651290518
2020-02-16,4.86112475198325
2020-02-17,4.43391839807701
2020-02-18,4.66701427224709
2020-02-19,4.91013354312198
2020-02-20,4.58045878525685
2020-02-21,4.66574193343206
2020-02-22,4.81809538816657
2020-02-23,4.79769738001526
2020-02-24,4.77943937210398
2020-02-25,4.54586097590358
2020-02-26,5.30639448236432
2020-02-27,5.16792863310887
2020-02-28,4.9221119483031
2020-02-29,5.3182115065504
2020-03-01,5.34258964508196
2020-03-02,5.57895256595697
2020-03-03,5.91037432032681
2020-03-04,5.36257695014853
2020-03-05,5.97853252142753
2020-03-06,5.85779085034346
2020-03-07,5.78282559177786
2020-03-08,5.775286223407
2020-03-09,6.18228403654208
2020-03-10,5.9369508474578
2020-03-11,6.11589839842872
2020-03-12,5.67452381541425
2020-03-13,6.00832742624912
2020-03-14,6.25902148064545
2020-03-15,5.87754371358014
2020-03-16,6.48203436501404
2020-03-17,6.16110092055019
2020-03-18,6.16651618381572
2020-03-19,6.7031041462862
2020-03-20,6.70744692272742
2020-03-21,6.76145757752841
2020-03-22,6.78398700063881
2020-03-23,6.91804362996661
2020-03-24,7.01355882833313
2020-03-25,6.91838641378515
2020-03-26,6.73802454021518
2020-03-27,6.97748375833553
2020-03-28,6.83165049192656
2020-03-29,7.36739212913657
2020-03-30,7.46010035673467
2020-03-31,7.23484015947972
2020-04-01,6.9172220158667
2020-04-02,7.34722831438377
2020-04-03,7.01579105313326
2020-04-04,7.73116274162733
2020-04-05,7.16415912712579
2020-04-06,7.61774798099852
2020-04-07,7.66819934397204
2020-04-08,7.38372554121427
2020-04-09,8.24282626305184
2020-04-10,8.37381125314213
2020-04-11,8.38207141414058
2020-04-12,7.85048464548385
2020-04-13,8.28131797766369
2020-04-14,8.94138769871959
2020-04-15,8.50556319829175
2020-04-16,8.36419397018003
2020-04-17,8.39859407421684
2020-04-18,8.95902196016829
2020-04-19,8.612344542246
2020-04-20,8.7319733516497
2020-04-21,9.29168658274063
2020-04-22,9.54816180837319
2020-04-23,9.41136440902391
2020-04-24,9.28923164773324
2020-04-25,9.46560076079006
2020-04-26,8.71321278102418
2020-04-27,8.98850736109257
2020-04-28,8.93332579077716
2020-04-29,9.20547692325899
2020-04-30,9.0774576208026
2020-05-01,9.03432652037024
2020-05-02,9.49113238318519
2020-05-03,9.81671731215244
2020-05-04,10.0072029713122
2020-05-05,10.4070796553898
2020-05-06,10.4786803376996
2020-05-07,10.3038574485006
2020-05-08,10.0779530188914
2020-05-09,10.4729474949759
2020-05-10,11.1554636342755
2020-05-11,10.7179360593278
2020-05-12,11.5542820488379
2020-05-13,11.0650819049518
2020-05-14,11.0161960379833
2020-05-15,11.4377109142086
2020-05-16,10.8390739125568
2020-05-17,10.96734691806
2020-05-18,10.9115462508451
2020-05-19,11.28659549779
2020-05-20,11.7217500787283
2020-05-21,11.8962842225601
2020-05-22,12.1626539327145
2020-05-23,12.2105759027807
2020-05-24,12.7257472761505
2020-05-25,11.9511984401277
2020-05-26,12.7384242333979
2020-05-27,12.967291617245
2020-05-28,12.4368477369135
2020-05-29,12.9781646229834
2020-05-30,13.2161891043026
2020-05-31,12.6708702597618
2020-06-01,13.6445093536222
2020-06-02,13.6251510429413
2020-06-03,13.1732797671584
2020-06-04,13.3036601075317
2020-06-05,13.3755924873271
2020-06-06,13.1148687499226
2020-06-07,13.4395090251953
2020-06-08,13.6672770152116
2020-06-09,13.9519543003868
2020-06-10,13.8604242558006
2020-06-11,13.8363826195625
2020-06-12,13.7983698805533
2020-06-13,14.0006720239994
2020-06-14,13.8604959178394
2020-06-15,14.3280858626098
2020-06-16,14.37921002898
2020-06-17,14.4805132835444
2020-06-18,14.279641629376
2020-06-19,14.2308045282385
2020-06-20,14.7491679648739
2020-06-21,14.7268587195382
2020-06-22,14.2970009071611
2020-06-23,14.42664728306
2020-06-24,14.9676724436294
2020-06-25,14.888721030348
2020-06-26,15.0991002111778
2020-06-27,15.0215003254305
2020-06-28,15.1314943031051
2020-06-29,15.2044023476598
2020-06-30,15.2952499351489
2020-07-01,15.6365732647328
2020-07-02,16.1252442369654
2020-07-03,15.9460071371151
2020-07-04,15.7625375977555
