"Date","Predicted_AvTemp"
2020-01-01,4.71314275496901
2020-01-02,5.50474859370059
2020-01-03,4.73791395194579
2020-01-04,4.59193400638579
2020-01-05,4.62442277051841
2020-01-06,5.02249338037102
2020-01-07,5.18883467538194
2020-01-08,5.33465808245102
2020-01-09,5.05195023435011
2020-01-10,5.31688473767041
2020-01-11,5.23592204493447
2020-01-12,5.06283526569381
2020-01-13,4.92926735932347
2020-01-14,4.78248126868431
2020-01-15,5.06219098782309
2020-01-16,4.42279956024672
2020-01-17,4.90039680052476
2020-01-18,4.55555979392257
2020-01-19,4.42171201701619
2020-01-20,5.18268688056037
2020-01-21,5.15481283818815
2020-01-22,4.93107122713569
2020-01-23,4.62985465073045
2020-01-24,4.92042202835219
2020-01-25,4.78775075559826
2020-01-26,4.55753808638198
2020-01-27,4.56014984585581
2020-01-28,4.4541331583759
2020-01-29,5.03894052127422
2020-01-30,4.9903993278873
2020-01-31,5.47771524365761
2020-02-01,4.95492881840456
2020-02-02,5.00658982565337
2020-02-03,5.23468230681274
2020-02-04,5.59393341527574
2020-02-05,5.58392009869434
2020-02-06,5.10937558690318
2020-02-07,5.11620022269035
2020-02-08,5.29034116588567
2020-02-09,5.16449330158395
2020-02-10,5.14899755661642
2020-02-11,4.44802712429658
2020-02-12,4.59098118767729
2020-02-13,4.36267257029111
2020-02-14,4.76585683951696
2020-02-15,5.19357533130747
2020-02-16,5.24797721010264
2020-02-17,4.82015406733227
2020-02-18,5.05384640518261
2020-02-19,5.29756241540925
2020-02-20,4.96777963157605
2020-02-21,5.05421213611646
2020-02-22,5.20717249279466
2020-02-23,5.18666219694317
2020-02-24,5.16752837328273
2020-02-25,4.93292076132925
2020-02-26,5.69223031621184
2020-02-27,5.55122805835321
2020-02-28,5.30099823819768
2020-02-29,5.69054563665875
2020-03-01,5.7178094223084
2020-03-02,5.95673538761225
2020-03-03,6.28672782260037
2020-03-04,5.73093024249453
2020-03-05,6.34247496575202
2020-03-06,6.22141961032366
2020-03-07,6.14497444293409
2020-03-08,6.13108089160463
2020-03-09,6.53220928635706
2020-03-10,6.27973094577686
2020-03-11,6.45222969141559
2020-03-12,6.00516259660417
2020-03-13,6.33936941795978
2020-03-14,6.59122916039399
2020-03-15,6.20905497265912
2020-03-16,6.81329029269597
2020-03-17,6.49269011270221
2020-03-18,6.49831346323324
2020-03-19,7.03570626722212
2020-03-20,7.03947530425389
2020-03-21,7.09308768826907
2020-03-22,7.11474797135052
2020-03-23,7.24689003988349
2020-03-24,7.33842373738598
2020-03-25,7.23939500662916
2020-03-26,7.05795837190692
2020-03-27,7.29507396519702
2020-03-28,7.1460306831931
2020-03-29,7.67711247397805
2020-03-30,7.76301600436059
2020-03-31,7.52738427853976
2020-04-01,7.23654275418228
2020-04-02,7.6581807095845
2020-04-03,7.31869741733576
2020-04-04,8.0279684810301
2020-04-05,7.45432708467012
2020-04-06,7.90095846717215
2020-04-07,7.94371996670229
2020-04-08,7.64937270669155
2020-04-09,8.49866245929561
2020-04-10,8.62108533902146
2020-04-11,8.62078356101883
2020-04-12,8.08026421677863
2020-04-13,8.50599741792363
2020-04-14,9.16463089055785
2020-04-15,8.72865272190521
2020-04-16,8.58714025638151
2020-04-17,8.62163566824531
2020-04-18,9.18066515472452
2020-04-19,8.83296256671442
2020-04-20,8.94914580296701
2020-04-21,9.50443121361384
2020-04-22,9.75646914911435
2020-04-23,9.61576126783529
2020-04-24,9.48861404228547
2020-04-25,9.66057600280876
2020-04-26,8.90626158602257
2020-04-27,9.17817670939208
2020-04-28,9.11920341195102
2020-04-29,9.38756269437262
2020-04-30,9.25637502506681
2020-05-01,9.21298302392839
2020-05-02,9.66548213823394
2020-05-03,9.98545575928216
2020-05-04,10.1717341947881
2020-05-05,10.567935209434
2020-05-06,10.6349919763529
2020-05-07,10.4522655112566
2020-05-08,10.2172692126509
2020-05-09,10.6037256139439
2020-05-10,11.2777579633823
2020-05-11,10.8316611851174
2020-05-12,11.6581699122951
2020-05-13,11.1571317942183
2020-05-14,11.095515649175
2020-05-15,11.5094127016208
2020-05-16,10.9096192432005
2020-05-17,11.034290995671
2020-05-18,10.9813105892788
2020-05-19,11.3583408040434
2020-05-20,11.7931069936658
2020-05-21,11.9646449237634
2020-05-22,12.2270406134367
2020-05-23,12.2714094686715
2020-05-24,12.7838639654749
2020-05-25,12.0083698817423
2020-05-26,12.795205890438
2020-05-27,13.0250535024708
2020-05-28,12.4965737963503
2020-05-29,13.036973262629
2020-05-30,13.273979100569
2020-05-31,12.7280260104537
2020-06-01,13.6637634746202
2020-06-02,13.6426342279868
2020-06-03,13.1897663588179
2020-06-04,13.319877263845
2020-06-05,13.3924191942656
2020-06-06,13.1321538575576
2020-06-07,13.4536387076393
2020-06-08,13.6778178656721
2020-06-09,13.9581556123328
2020-06-10,13.8591074737135
2020-06-11,13.8253977592019
2020-06-12,13.7774548416697
2020-06-13,13.9686367290792
2020-06-14,13.8185323629206
2020-06-15,14.2835416575402
2020-06-16,14.3358155453541
2020-06-17,14.4393528192576
2020-06-18,14.2418592434306
2020-06-19,14.1990783169291
2020-06-20,14.725279950617
2020-06-21,14.7079640694962
2020-06-22,14.2812964690707
2020-06-23,14.4160157292312
2020-06-24,14.9610513436209
2020-06-25,14.8863920831616
2020-06-26,15.1012626602396
2020-06-27,15.0281843679438
2020-06-28,15.1418236017801
2020-06-29,15.2180047981498
2020-06-30,15.3100850320446
2020-07-01,15.5677431881277
2020-07-02,16.0556989083483
2020-07-03,15.87959325027
2020-07-04,15.7018585345545
